"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-06-05 23:51:40",60,,,,,,,,,,,,,,,,,56,,,,,,47
"2020-06-08 23:51:40",,,64,,,,,69,,54,,,68,,,64,,,58,,58,66,,,44,65
"2020-06-10 23:51:40",,,,,,,,,,,51,,,,,,67,,,,,,65
"2020-06-11 23:51:40",,62
"2020-06-12 23:51:40",,,,,,44,,,,,,,,,,,,,61
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,48
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,48
"2020-06-17 23:51:40",,,,,,45,,,,,53,,,,,,63,,,,,,63
"2020-06-18 23:51:40",,,,,,,45
"2020-06-22 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,46
"2020-06-23 23:51:40",,,,,,,,,,,51
