"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-06-05 23:51:40",72,,,,,,,,,,,,,,,,,79,,,,,,63
"2020-06-08 23:51:40",,,79,,,,,87,,82,,,81,,,78,,,80,,77,81,,,56,75
"2020-06-10 23:51:40",,,,,,,,,,,72,,,,,,73,,,,,,75
"2020-06-11 23:51:40",,72
"2020-06-12 23:51:40",,,,,,60,,,,,,,,,,,,,80
"2020-06-15 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,63
"2020-06-16 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,59
"2020-06-17 23:51:40",,,,,,62,,,,,71,,,,,,73,,,,,,75
"2020-06-18 23:51:40",,,,,,,61
"2020-06-22 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,,60
"2020-06-23 23:51:40",,,,,,,,,,,70
